Date,Time,Low_Range_micro_siemens_per_centimeter,High_Range_micro_siemens_per_centimeter,Temp_Celcius
8/10/22,2:30:00,"2,565.50","2,581.20",26.25
8/10/22,2:40:00,"2,565.50","2,579.90",26.24
8/10/22,2:50:00,"2,566.10","2,579.30",26.23
8/10/22,3:00:00,"2,565.50","2,579.30",26.2
8/10/22,3:10:00,"2,563.20","2,578.70",26.19
8/10/22,3:20:00,"2,563.20","2,577.50",26.17
8/10/22,3:30:00,"2,560.80","2,576.20",26.14
8/10/22,3:40:00,"2,560.80","2,575.00",26.13
8/10/22,3:50:00,"2,560.80","2,576.20",26.12
8/10/22,4:00:00,"2,560.80","2,575.00",26.1
8/10/22,4:10:00,"2,560.80","2,574.40",26.09
8/10/22,4:20:00,"2,560.80","2,573.80",26.07
8/10/22,4:30:00,"2,560.20","2,574.40",26.06
8/10/22,4:40:00,"2,557.80","2,573.80",26.06
8/10/22,4:50:00,"2,557.80","2,573.80",26.04
8/10/22,5:00:00,"2,557.80","2,572.50",26.03
8/10/22,5:10:00,"2,557.20","2,571.90",26.01
8/10/22,5:20:00,"2,555.50","2,570.10",25.99
8/10/22,5:30:00,"2,557.80","2,570.10",25.98
8/10/22,5:40:00,"2,555.50","2,570.10",25.98
8/10/22,5:50:00,"2,555.50","2,568.20",25.96
8/10/22,6:00:00,"2,553.10","2,568.20",25.94
8/10/22,6:10:00,"2,552.50","2,565.80",25.93
8/10/22,6:20:00,"2,552.50","2,565.10",25.92
8/10/22,6:30:00,"2,545.40","2,560.80",25.89
8/10/22,6:40:00,"2,545.40","2,559.00",25.88
8/10/22,6:50:00,"2,545.40","2,557.10",25.87
8/10/22,7:00:00,"2,543.00","2,558.40",25.87
8/10/22,7:10:00,"2,540.70","2,555.30",25.86
8/10/22,7:20:00,"2,543.00","2,556.50",25.86
8/10/22,7:30:00,"2,540.10","2,555.90",25.85
8/10/22,7:40:00,"2,540.10","2,554.00",25.85
8/10/22,7:50:00,"2,540.10","2,553.40",25.85
8/10/22,8:00:00,"2,542.50","2,556.50",25.87
8/10/22,8:10:00,"2,540.10","2,555.30",25.88
8/10/22,8:20:00,"2,540.10","2,555.90",25.91
8/10/22,8:30:00,"2,542.50","2,557.70",25.93
8/10/22,8:40:00,"2,544.80","2,559.00",25.97
8/10/22,8:50:00,"2,547.20","2,560.80",26.01
8/10/22,9:00:00,"2,550.10","2,564.50",26.07
8/10/22,9:10:00,"2,552.50","2,567.00",26.1
8/10/22,9:20:00,"2,557.20","2,571.30",26.18
8/10/22,9:30:00,"2,559.60","2,575.00",26.27
8/10/22,9:40:00,"2,564.30","2,578.10",26.3
8/10/22,9:50:00,"2,569.70","2,583.60",26.41
8/10/22,10:00:00,"2,573.80","2,587.90",26.48
8/10/22,10:10:00,"2,576.80","2,590.40",26.51
8/10/22,10:20:00,"2,581.50","2,594.70",26.59
8/10/22,10:30:00,"2,586.30","2,602.70",26.7
8/10/22,10:40:00,"2,586.30","2,601.50",26.69
8/10/22,10:50:00,"2,591.60","2,607.70",26.76
8/10/22,11:00:00,"2,594.00","2,610.20",26.8
8/10/22,11:10:00,"2,596.40","2,612.00",26.81
8/10/22,11:20:00,"2,598.70","2,613.90",26.82
8/10/22,11:30:00,"2,601.10","2,618.20",26.88
8/10/22,11:40:00,"2,603.50","2,619.40",26.88
8/10/22,11:50:00,"2,605.90","2,621.90",26.89
8/10/22,12:00:00,"2,606.50","2,623.10",26.89
8/10/22,12:10:00,"2,608.80","2,625.60",26.93
8/10/22,12:20:00,"2,611.20","2,627.40",26.97
8/10/22,12:30:00,"2,613.60","2,630.50",27.01
8/10/22,12:40:00,"2,629.10","2,646.00",27.2
8/10/22,12:50:00,"2,626.10","2,641.00",27.14
8/10/22,13:00:00,"2,618.90","2,636.10",27.06
8/10/22,13:10:00,"2,633.80","2,652.20",27.28
8/10/22,13:20:00,"2,504.70","2,527.00",27.27
8/10/22,13:30:00,"2,643.30","2,660.20",27.38
8/10/22,13:40:00,"2,627.90","2,646.00",27.35
8/10/22,13:50:00,"2,630.80","2,647.80",27.35
8/10/22,14:00:00,"2,651.10","2,668.30",27.61
8/10/22,14:10:00,"2,653.50","2,672.60",27.64
8/10/22,14:20:00,"2,635.60","2,654.60",27.24
8/10/22,14:30:00,"2,614.80","2,632.40",27.24
8/10/22,14:40:00,"2,534.80","2,554.00",27.25
8/10/22,14:50:00,"2,619.50","2,636.10",27.25
8/10/22,15:00:00,"2,621.90","2,638.60",27.27
8/10/22,15:10:00,"2,552.50","2,562.70",27.28
8/10/22,15:20:00,"2,619.50","2,638.00",27.24
8/10/22,15:30:00,"2,621.30","2,638.00",27.27
8/10/22,15:40:00,"2,618.90","2,638.00",27.25
8/10/22,15:50:00,"2,624.30","2,641.70",27.27
8/10/22,16:00:00,"2,621.30","2,638.60",27.27
8/10/22,16:10:00,"2,618.90","2,637.30",27.24
8/10/22,16:20:00,"2,618.90","2,638.60",27.22
8/10/22,16:30:00,"2,621.30","2,638.60",27.22
8/10/22,16:40:00,"2,613.60","2,631.20",27.2
8/10/22,16:50:00,"2,608.80","2,626.20",27.17
8/10/22,17:00:00,"2,282.60","2,320.70",27.18
8/10/22,17:10:00,"2,623.70","2,639.80",27.15
8/10/22,17:20:00,"2,378.60","2,405.50",27.15
8/10/22,17:30:00,"2,625.50","2,642.30",27.13
8/10/22,17:40:00,"2,625.50","2,642.90",27.12
8/10/22,17:50:00,"2,625.50","2,642.90",27.1
8/10/22,18:00:00,"2,625.50","2,644.80",27.08
8/10/22,18:10:00,"2,627.90","2,644.10",27.08
8/10/22,18:20:00,"2,625.50","2,644.10",27.07
8/10/22,18:30:00,"2,627.30","2,644.10",27.06
8/10/22,18:40:00,"2,622.50","2,639.20",27.03
8/10/22,18:50:00,"2,620.10","2,637.30",27.03
8/10/22,19:00:00,"2,617.20","2,634.20",27.01
8/10/22,19:10:00,"2,614.80","2,634.20",26.99
8/10/22,19:20:00,"2,617.20","2,633.00",26.98
8/10/22,19:30:00,"2,614.80","2,632.40",26.96
8/10/22,19:40:00,"2,611.80","2,629.90",26.94
8/10/22,19:50:00,"2,611.80","2,628.70",26.92
8/10/22,20:00:00,"2,611.80","2,629.90",26.92
8/10/22,20:10:00,"2,611.80","2,628.10",26.89
8/10/22,20:20:00,"2,609.40","2,626.20",26.88
8/10/22,20:30:00,"2,609.40","2,626.20",26.87
8/10/22,20:40:00,"2,609.40","2,626.20",26.86
8/10/22,20:50:00,"2,606.50","2,623.70",26.85
8/10/22,21:00:00,"2,606.50","2,621.90",26.83
8/10/22,21:10:00,"2,319.80","2,331.70",26.82
8/10/22,21:20:00,"2,604.10","2,619.40",26.8
8/10/22,21:30:00,"2,601.10","2,618.20",26.78
8/10/22,21:40:00,"2,604.10","2,619.40",26.78
8/10/22,21:50:00,"2,601.10","2,618.80",26.77
8/10/22,22:00:00,"2,598.70","2,615.70",26.76
8/10/22,22:10:00,"2,598.70","2,614.50",26.75
8/10/22,22:20:00,"2,596.40","2,612.00",26.73
8/10/22,22:30:00,"2,591.00","2,607.10",26.72
8/10/22,22:40:00,"2,594.00","2,611.40",26.71
8/10/22,22:50:00,"2,596.40","2,610.20",26.7
8/10/22,23:00:00,"2,594.00","2,610.20",26.69
8/10/22,23:10:00,"2,594.00","2,609.50",26.67
8/10/22,23:20:00,"2,591.00","2,608.90",26.66
8/10/22,23:30:00,"2,594.00","2,607.70",26.66
8/10/22,23:40:00,"2,588.60","2,606.50",26.65
8/10/22,23:50:00,"2,588.60","2,605.20",26.64
9/10/22,0:00:00,"2,588.60","2,603.40",26.61
9/10/22,0:10:00,"2,588.60","2,603.40",26.61
9/10/22,0:20:00,"2,588.10","2,602.70",26.59
9/10/22,0:30:00,"2,586.30","2,602.70",26.59
9/10/22,0:40:00,"2,586.30","2,602.10",26.57
9/10/22,0:50:00,"2,586.30","2,600.30",26.55
9/10/22,1:00:00,"2,583.30","2,599.70",26.54
9/10/22,1:10:00,"2,583.90","2,599.70",26.52
9/10/22,1:20:00,"2,583.90","2,598.40",26.51
9/10/22,1:30:00,"2,583.30","2,598.40",26.5
9/10/22,1:40:00,"2,580.90","2,598.40",26.49
9/10/22,1:50:00,"2,583.30","2,600.30",26.46
9/10/22,2:00:00,"2,583.90","2,598.40",26.46
9/10/22,2:10:00,"2,580.90","2,596.00",26.44
9/10/22,2:20:00,"2,580.90","2,596.00",26.43
9/10/22,2:30:00,"2,580.90","2,597.80",26.4
9/10/22,2:40:00,"2,580.90","2,596.60",26.39
9/10/22,2:50:00,"2,583.30","2,598.40",26.38
9/10/22,3:00:00,"2,578.60","2,592.30",26.36
9/10/22,3:10:00,"2,580.90","2,596.60",26.36
9/10/22,3:20:00,"2,580.90","2,596.00",26.35
9/10/22,3:30:00,"2,580.30","2,595.30",26.33
9/10/22,3:40:00,"2,578.00","2,596.00",26.33
9/10/22,3:50:00,"2,578.60","2,592.90",26.3
9/10/22,4:00:00,"2,578.00","2,591.60",26.28
9/10/22,4:10:00,"2,565.50","2,582.40",26.28
9/10/22,4:20:00,"2,563.80","2,579.30",26.25
9/10/22,4:30:00,"2,566.10","2,579.90",26.24
9/10/22,4:40:00,"2,568.50","2,582.40",26.24
9/10/22,4:50:00,"2,568.50","2,584.20",26.23
9/10/22,5:00:00,"2,572.60","2,589.20",26.22
9/10/22,5:10:00,"2,573.20","2,589.20",26.22
9/10/22,5:20:00,"2,575.60","2,589.20",26.19
9/10/22,5:30:00,"2,570.90","2,584.90",26.19
9/10/22,5:40:00,"2,570.90","2,586.10",26.18
9/10/22,5:50:00,"2,570.30","2,583.60",26.15
9/10/22,6:00:00,"2,570.30","2,586.10",26.15
9/10/22,6:10:00,"2,570.30","2,584.90",26.13
9/10/22,6:20:00,"2,567.90","2,582.40",26.13
9/10/22,6:30:00,"2,563.20","2,579.30",26.12
9/10/22,6:40:00,"2,560.80","2,575.60",26.1
9/10/22,6:50:00,"2,560.80","2,576.80",26.09
9/10/22,7:00:00,"2,557.80","2,574.40",26.09
9/10/22,7:10:00,"2,558.40","2,572.50",26.08
9/10/22,7:20:00,"2,232.90","2,281.20",26.08
9/10/22,7:30:00,"1,982.60","2,011.00",26.08
9/10/22,7:40:00,"1,984.30","2,013.40",26.07
9/10/22,7:50:00,"1,987.70","2,015.20",26.07
9/10/22,8:00:00,"1,989.40","2,016.40",26.08
9/10/22,8:10:00,"1,989.40","2,017.60",26.1
9/10/22,8:20:00,"1,989.40","2,018.20",26.1
9/10/22,8:30:00,"1,989.40","2,017.00",26.09
9/10/22,8:40:00,"1,984.30","2,012.20",26.1
9/10/22,8:50:00,"1,980.90","2,005.00",26.12
9/10/22,9:00:00,"1,834.60","1,863.30",26.12
9/10/22,9:10:00,"2,435.30","2,445.90",26.13
9/10/22,9:20:00,"2,565.50","2,581.80",26.15
9/10/22,9:30:00,"2,565.50","2,581.80",26.17
9/10/22,9:40:00,"2,567.90","2,582.40",26.19
9/10/22,9:50:00,"2,570.30","2,586.10",26.27
9/10/22,10:00:00,"2,572.60","2,587.90",26.29
9/10/22,10:10:00,"2,374.50","2,406.20",26.33
9/10/22,10:20:00,"2,576.80","2,592.90",26.38
9/10/22,10:30:00,"2,576.80","2,592.30",26.36
9/10/22,10:40:00,"2,579.20","2,594.70",26.4
9/10/22,10:50:00,"2,579.20","2,594.70",26.41
9/10/22,11:00:00,"2,579.20","2,594.10",26.43
9/10/22,11:10:00,"2,579.80","2,595.30",26.44
9/10/22,11:20:00,"2,581.50","2,597.80",26.48
9/10/22,11:30:00,"2,583.90","2,599.70",26.49
9/10/22,11:40:00,"2,586.30","2,601.50",26.54
9/10/22,11:50:00,"2,583.90","2,600.30",26.51
9/10/22,12:00:00,"2,586.30","2,602.10",26.54
9/10/22,12:10:00,"2,586.30","2,603.40",26.54
9/10/22,12:20:00,"2,591.00","2,605.80",26.59
9/10/22,12:30:00,"2,591.60","2,607.70",26.6
9/10/22,12:40:00,"2,596.40","2,610.20",26.65
9/10/22,12:50:00,"2,596.40","2,612.60",26.65
9/10/22,13:00:00,"2,598.70","2,613.90",26.66
9/10/22,13:10:00,"2,601.10","2,617.60",26.73
9/10/22,13:20:00,"2,608.20","2,625.00",26.78
9/10/22,13:30:00,"2,610.60","2,628.10",26.85
9/10/22,13:40:00,"2,610.60","2,628.70",26.87
9/10/22,13:50:00,"2,610.60","2,629.30",26.86
9/10/22,14:00:00,"2,615.40","2,633.00",26.96
9/10/22,14:10:00,"2,613.00","2,631.20",27.03
9/10/22,14:20:00,"2,607.60","2,625.00",26.88
9/10/22,14:30:00,"2,601.10","2,618.80",26.82
9/10/22,14:40:00,"2,562.00","2,576.20",26.83
9/10/22,14:50:00,"2,600.50","2,615.70",26.86
9/10/22,15:00:00,"2,597.60","2,614.50",26.87
9/10/22,15:10:00,"2,600.50","2,617.60",26.93
9/10/22,15:20:00,"2,602.30","2,618.80",26.94
9/10/22,15:30:00,"2,602.30","2,617.60",26.96
9/10/22,15:40:00,"2,605.30","2,620.70",26.98
9/10/22,15:50:00,"2,602.30","2,617.60",26.98
9/10/22,16:00:00,"2,607.10","2,623.10",27.01
9/10/22,16:10:00,"2,611.80","2,629.90",27.09
9/10/22,16:20:00,"2,607.10","2,623.70",27.02
9/10/22,16:30:00,"2,607.10","2,623.10",27.07
9/10/22,16:40:00,"2,609.40","2,626.20",27.1
9/10/22,16:50:00,"2,609.40","2,626.20",27.09
9/10/22,17:00:00,"2,611.80","2,627.40",27.09
9/10/22,17:10:00,"2,614.20","2,629.90",27.13
9/10/22,17:20:00,"2,611.20","2,627.40",27.1
9/10/22,17:30:00,"2,611.80","2,628.10",27.12
9/10/22,17:40:00,"2,614.20","2,630.50",27.13
