Date,Time,Temp,mV,pH
06-10-22,18:50:00,26.52,-27.42,7.46
06-10-22,19:00:00,26.52,-27.41,7.46
06-10-22,19:10:00,26.52,-27.2,7.46
06-10-22,19:20:00,26.5,-26.99,7.45
06-10-22,19:30:00,26.5,-27.11,7.46
06-10-22,19:40:00,26.48,-26.75,7.45
06-10-22,19:50:00,26.45,-26.86,7.45
06-10-22,20:00:00,26.43,-26.5,7.45
06-10-22,20:10:00,26.4,-26.3,7.44
06-10-22,20:20:00,26.38,-26.24,7.44
06-10-22,20:30:00,26.38,-26.38,7.44
06-10-22,20:40:00,26.35,-26.27,7.44
06-10-22,20:50:00,26.33,-26.69,7.45
06-10-22,21:00:00,26.3,-26.81,7.45
06-10-22,21:10:00,26.3,-27,7.45
06-10-22,21:20:00,26.28,-27.36,7.46
06-10-22,21:30:00,26.26,-26.94,7.45
06-10-22,21:40:00,26.23,-26.77,7.45
06-10-22,21:50:00,26.21,-26.91,7.45
06-10-22,22:00:00,26.21,-26.78,7.45
06-10-22,22:10:00,26.18,-26.97,7.45
06-10-22,22:20:00,26.16,-26.77,7.45
06-10-22,22:30:00,26.16,-26.63,7.45
06-10-22,22:40:00,26.13,-26.7,7.45
06-10-22,22:50:00,26.13,-26.94,7.45
06-10-22,23:00:00,26.11,-27.06,7.46
06-10-22,23:10:00,26.08,-26.7,7.45
06-10-22,23:20:00,26.06,-26.74,7.45
06-10-22,23:30:00,26.06,-27.08,7.46
06-10-22,23:40:00,26.04,-26.67,7.45
06-10-22,23:50:00,26.04,-26.97,7.45
07-10-22,0:00:00,26.01,-26.8,7.45
07-10-22,0:10:00,25.99,-26.84,7.45
07-10-22,0:20:00,25.99,-26.72,7.45
07-10-22,0:30:00,25.99,-26.64,7.45
07-10-22,0:40:00,25.96,-26.36,7.44
07-10-22,0:50:00,25.96,-26.34,7.44
07-10-22,1:00:00,25.94,-26.58,7.45
07-10-22,1:10:00,25.94,-26.75,7.45
07-10-22,1:20:00,25.94,-26.36,7.44
07-10-22,1:30:00,25.91,-26.34,7.44
07-10-22,1:40:00,25.91,-26.33,7.44
07-10-22,1:50:00,25.91,-26.02,7.44
07-10-22,2:00:00,25.89,-25.91,7.44
07-10-22,2:10:00,25.89,-25.99,7.44
07-10-22,2:20:00,25.87,-25.78,7.43
07-10-22,2:30:00,25.87,-25.75,7.43
07-10-22,2:40:00,25.84,-25.5,7.43
07-10-22,2:50:00,25.84,-25.56,7.43
07-10-22,3:00:00,25.84,-25.33,7.43
07-10-22,3:10:00,25.82,-25.44,7.43
07-10-22,3:20:00,25.79,-25.42,7.43
07-10-22,3:30:00,25.79,-25.59,7.43
07-10-22,3:40:00,25.79,-25.14,7.42
07-10-22,3:50:00,25.77,-25.14,7.42
07-10-22,4:00:00,25.77,-24.94,7.42
07-10-22,4:10:00,25.74,-24.66,7.42
07-10-22,4:20:00,25.74,-24.5,7.41
07-10-22,4:30:00,25.74,-24.59,7.41
07-10-22,4:40:00,25.72,-24.45,7.41
07-10-22,4:50:00,25.72,-24.33,7.41
07-10-22,5:00:00,25.7,-24.24,7.41
07-10-22,5:10:00,25.7,-24.14,7.41
07-10-22,5:20:00,25.7,-24.08,7.41
07-10-22,5:30:00,25.67,-24,7.4
07-10-22,5:40:00,25.67,-23.89,7.4
07-10-22,5:50:00,25.67,-24.02,7.4
07-10-22,6:00:00,25.65,-23.91,7.4
07-10-22,6:10:00,25.65,-23.83,7.4
07-10-22,6:20:00,25.62,-23.8,7.4
07-10-22,6:30:00,25.62,-23.7,7.4
07-10-22,6:40:00,25.62,-24.16,7.41
07-10-22,6:50:00,25.62,-23.89,7.4
07-10-22,7:00:00,25.6,-23.69,7.4
07-10-22,7:10:00,25.6,-23.56,7.4
07-10-22,7:20:00,25.6,-23.53,7.4
07-10-22,7:30:00,25.6,-23.63,7.4
07-10-22,7:40:00,25.6,-23.69,7.4
07-10-22,7:50:00,25.6,-23.67,7.4
07-10-22,8:00:00,25.6,-23.66,7.4
07-10-22,8:10:00,25.62,-23.7,7.4
07-10-22,8:20:00,25.65,-23.67,7.4
07-10-22,8:30:00,25.67,-23.45,7.4
07-10-22,8:40:00,25.67,-23.31,7.39
07-10-22,8:50:00,25.7,-23.17,7.39
07-10-22,9:00:00,25.74,-23.42,7.39
07-10-22,9:10:00,25.79,-23.58,7.4
07-10-22,9:20:00,25.82,-23.56,7.4
07-10-22,9:30:00,25.84,-23.49,7.4
07-10-22,9:40:00,25.84,-23.38,7.39
07-10-22,9:50:00,25.87,-23.28,7.39
07-10-22,10:00:00,25.87,-23.34,7.39
07-10-22,10:10:00,25.91,-23.39,7.39
07-10-22,10:20:00,25.94,-23.44,7.39
07-10-22,10:30:00,26.01,-23.49,7.4
07-10-22,10:40:00,26.06,-23.53,7.4
07-10-22,10:50:00,26.13,-23.63,7.4
07-10-22,11:00:00,26.21,-23.66,7.4
07-10-22,11:10:00,26.23,-23.61,7.4
07-10-22,11:20:00,26.3,-23.72,7.4
07-10-22,11:30:00,26.33,-23.59,7.4
07-10-22,11:40:00,26.33,-23.67,7.4
07-10-22,11:50:00,26.4,-23.67,7.4
07-10-22,12:00:00,26.4,-23.34,7.39
07-10-22,12:10:00,26.4,-23.19,7.39
07-10-22,12:20:00,26.43,-24.08,7.41
07-10-22,12:30:00,26.52,-24.41,7.41
07-10-22,12:40:00,26.55,-24.34,7.41
07-10-22,12:50:00,26.7,-24.89,7.42
07-10-22,13:00:00,26.57,-25.31,7.43
07-10-22,13:10:00,26.62,-25.45,7.43
07-10-22,13:20:00,26.67,-25.72,7.43
07-10-22,13:30:00,26.6,-25.67,7.43
07-10-22,13:40:00,26.72,-25.78,7.43
07-10-22,13:50:00,26.82,-26.09,7.44
07-10-22,14:00:00,26.94,-26.42,7.44
07-10-22,14:10:00,27.11,-26.84,7.45
07-10-22,14:20:00,27.16,-27.02,7.45
07-10-22,14:30:00,26.7,-26.92,7.45
07-10-22,14:40:00,26.67,-27.02,7.45
07-10-22,14:50:00,26.67,-26.86,7.45
07-10-22,15:00:00,26.67,-26.95,7.45
07-10-22,15:10:00,26.7,-27.02,7.45
07-10-22,15:20:00,26.7,-26.97,7.45
07-10-22,15:30:00,26.7,-27.08,7.46
07-10-22,15:40:00,26.7,-27.03,7.45
07-10-22,15:50:00,26.72,-27.11,7.46
07-10-22,16:00:00,26.74,-27.17,7.46
07-10-22,16:10:00,26.74,-27.56,7.46
07-10-22,16:20:00,26.74,-27.78,7.47
07-10-22,16:30:00,26.77,-28.78,7.48
07-10-22,16:40:00,26.74,-28.75,7.48
07-10-22,16:50:00,26.74,-29.27,7.49
07-10-22,17:00:00,26.77,-28.95,7.49
07-10-22,17:10:00,26.74,-29.42,7.49
07-10-22,17:20:00,26.74,-29.56,7.5
07-10-22,17:30:00,26.74,-29.45,7.49
07-10-22,17:40:00,26.74,-29.5,7.5
07-10-22,17:50:00,26.72,-29.7,7.5
07-10-22,18:00:00,26.74,-29.59,7.5
07-10-22,18:10:00,26.72,-29.64,7.5
07-10-22,18:20:00,26.72,-29.2,7.49
07-10-22,18:30:00,26.72,-29.09,7.49
07-10-22,18:40:00,26.7,-28.97,7.49
07-10-22,18:50:00,26.7,-28.99,7.49
07-10-22,19:00:00,26.67,-28.7,7.48
07-10-22,19:10:00,26.67,-28.56,7.48
07-10-22,19:20:00,26.65,-28.34,7.48
07-10-22,19:30:00,26.65,-28.49,7.48
07-10-22,19:40:00,26.62,-28.16,7.47
07-10-22,19:50:00,26.62,-28.03,7.47
07-10-22,20:00:00,26.6,-31.56,7.53
07-10-22,20:10:00,26.57,-28.28,7.48
07-10-22,20:20:00,26.55,-28.17,7.47
07-10-22,20:30:00,26.52,-28.17,7.47
07-10-22,20:40:00,26.52,-27.55,7.46
07-10-22,20:50:00,26.5,-27.47,7.46
07-10-22,21:00:00,26.5,-27.41,7.46
07-10-22,21:10:00,26.48,-27.05,7.45
07-10-22,21:20:00,26.45,-27.38,7.46
07-10-22,21:30:00,26.45,-27.55,7.46
07-10-22,21:40:00,26.43,-27.47,7.46
07-10-22,21:50:00,26.4,-27.88,7.47
07-10-22,22:00:00,26.4,-27.78,7.47
07-10-22,22:10:00,26.38,-27.72,7.47
07-10-22,22:20:00,26.38,-27.59,7.46
07-10-22,22:30:00,26.35,-27.88,7.47
07-10-22,22:40:00,26.33,-27.83,7.47
07-10-22,22:50:00,26.33,-28.08,7.47
07-10-22,23:00:00,26.3,-27.64,7.47
07-10-22,23:10:00,26.3,-27.44,7.46
07-10-22,23:20:00,26.28,-27.22,7.46
07-10-22,23:30:00,26.26,-27.24,7.46
07-10-22,23:40:00,26.26,-27.11,7.46
07-10-22,23:50:00,26.23,-27.58,7.46
08-10-22,0:00:00,26.21,-27.56,7.46
08-10-22,0:10:00,26.21,-27.34,7.46
08-10-22,0:20:00,26.21,-27.39,7.46
08-10-22,0:30:00,26.18,-27.05,7.46
08-10-22,0:40:00,26.18,-27.06,7.46
08-10-22,0:50:00,26.16,-27,7.45
08-10-22,1:00:00,26.16,-27.41,7.46
08-10-22,1:10:00,26.13,-28.28,7.48
08-10-22,1:20:00,26.11,-28.33,7.48
08-10-22,1:30:00,26.08,-28.08,7.47
08-10-22,1:40:00,26.08,-27.66,7.47
08-10-22,1:50:00,26.06,-27.66,7.47
08-10-22,2:00:00,26.04,-27.36,7.46
08-10-22,2:10:00,26.04,-26.99,7.45
08-10-22,2:20:00,26.01,-27.11,7.46
08-10-22,2:30:00,25.99,-26.89,7.45
08-10-22,2:40:00,25.99,-26.75,7.45
08-10-22,2:50:00,25.96,-26.58,7.45
08-10-22,3:00:00,25.96,-26.45,7.45
08-10-22,3:10:00,25.94,-26.49,7.45
08-10-22,3:20:00,25.91,-26.38,7.44
08-10-22,3:30:00,25.89,-26.08,7.44
08-10-22,3:40:00,25.87,-26.24,7.44
08-10-22,3:50:00,25.87,-26.2,7.44
08-10-22,4:00:00,25.84,-26.19,7.44
08-10-22,4:10:00,25.82,-26.22,7.44
08-10-22,4:20:00,25.82,-26.22,7.44
08-10-22,4:30:00,25.79,-26.14,7.44
08-10-22,4:40:00,25.79,-25.99,7.44
08-10-22,4:50:00,25.77,-25.99,7.44
08-10-22,5:00:00,25.77,-25.86,7.44
08-10-22,5:10:00,25.74,-25.88,7.44
08-10-22,5:20:00,25.72,-25.75,7.43
08-10-22,5:30:00,25.72,-25.72,7.43
08-10-22,5:40:00,25.7,-25.75,7.43
08-10-22,5:50:00,25.7,-25.89,7.44
08-10-22,6:00:00,25.67,-25.56,7.43
08-10-22,6:10:00,25.67,-25.74,7.43
08-10-22,6:20:00,25.65,-25.47,7.43
08-10-22,6:30:00,25.62,-25,7.42
08-10-22,6:40:00,25.62,-25.2,7.43
08-10-22,6:50:00,25.6,-24.81,7.42
08-10-22,7:00:00,25.6,-24.63,7.42
08-10-22,7:10:00,25.6,-24.88,7.42
08-10-22,7:20:00,25.6,-25.03,7.42
08-10-22,7:30:00,25.57,-25,7.42
08-10-22,7:40:00,25.57,-24.63,7.42
08-10-22,7:50:00,25.57,-24.36,7.41
08-10-22,8:00:00,25.6,-24.45,7.41
08-10-22,8:10:00,25.6,-24.5,7.41
08-10-22,8:20:00,25.62,-24.41,7.41
08-10-22,8:30:00,25.65,-24.25,7.41
08-10-22,8:40:00,25.65,-24.66,7.42
08-10-22,8:50:00,25.7,-25.11,7.42
08-10-22,9:00:00,25.74,-24.89,7.42
08-10-22,9:10:00,25.79,-24.91,7.42
08-10-22,9:20:00,25.84,-24.94,7.42
08-10-22,9:30:00,25.91,-24.89,7.42
08-10-22,9:40:00,25.96,-25.11,7.42
08-10-22,9:50:00,26.04,-24.99,7.42
08-10-22,10:00:00,26.11,-24.91,7.42
08-10-22,10:10:00,26.16,-24.99,7.42
08-10-22,10:20:00,26.21,-24.81,7.42
08-10-22,10:30:00,26.28,-24.69,7.42
08-10-22,10:40:00,26.33,-24.75,7.42
08-10-22,10:50:00,26.38,-24.56,7.41
08-10-22,11:00:00,26.43,-24.75,7.42
08-10-22,11:10:00,26.5,-24.2,7.41
08-10-22,11:20:00,26.52,-23.86,7.4
08-10-22,11:30:00,26.57,-23.94,7.4
08-10-22,11:40:00,26.6,-23.84,7.4
08-10-22,11:50:00,26.6,-23.75,7.4
08-10-22,12:00:00,26.6,-23.92,7.4
08-10-22,12:10:00,26.62,-24.28,7.41
08-10-22,12:20:00,26.67,-24.53,7.41
08-10-22,12:30:00,26.72,-25.95,7.44
08-10-22,12:40:00,26.79,-25.55,7.43
08-10-22,12:50:00,26.96,-25.58,7.43
08-10-22,13:00:00,26.77,-25.84,7.43
08-10-22,13:10:00,26.89,-26.42,7.44
08-10-22,13:20:00,27.21,-27.06,7.45
08-10-22,13:30:00,26.96,-27.77,7.47
08-10-22,13:40:00,27.11,-27.24,7.46
08-10-22,13:50:00,27.19,-28.33,7.48
08-10-22,14:00:00,27.36,-29,7.49
08-10-22,14:10:00,27.43,-29.39,7.49
08-10-22,14:20:00,27.16,-29.75,7.5
08-10-22,14:30:00,26.92,-29.19,7.49
08-10-22,14:40:00,26.96,-29.33,7.49
08-10-22,14:50:00,26.92,-29.22,7.49
08-10-22,15:00:00,26.94,-28.86,7.48
08-10-22,15:10:00,26.96,-29.31,7.49
08-10-22,15:20:00,26.92,-29.83,7.5
08-10-22,15:30:00,26.96,-29.78,7.5
08-10-22,15:40:00,26.94,-29.64,7.5
08-10-22,15:50:00,26.96,-29.83,7.5
08-10-22,16:00:00,26.96,-30.05,7.5
08-10-22,16:10:00,26.94,-30.09,7.51
08-10-22,16:20:00,26.94,-30.34,7.51
08-10-22,16:30:00,26.89,-30.34,7.51
08-10-22,16:40:00,26.89,-30.24,7.51
08-10-22,16:50:00,26.87,-29.99,7.5
08-10-22,17:00:00,26.84,-30.24,7.51
08-10-22,17:10:00,26.84,-30.13,7.51
08-10-22,17:20:00,26.87,-30.02,7.5
08-10-22,17:30:00,26.82,-30.19,7.51
08-10-22,17:40:00,26.84,-29.74,7.5
08-10-22,17:50:00,26.84,-29.8,7.5
08-10-22,18:00:00,26.79,-29.78,7.5
08-10-22,18:10:00,26.82,-29.42,7.49
08-10-22,18:20:00,26.79,-29.8,7.5
08-10-22,18:30:00,26.79,-29.3,7.49
08-10-22,18:40:00,26.77,-28.8,7.48
08-10-22,18:50:00,26.77,-29.22,7.49
08-10-22,19:00:00,26.74,-28.64,7.48
08-10-22,19:10:00,26.72,-29.27,7.49
08-10-22,19:20:00,26.72,-29.11,7.49
08-10-22,19:30:00,26.7,-28.88,7.49
08-10-22,19:40:00,26.67,-28.75,7.48
08-10-22,19:50:00,26.65,-28.8,7.48
08-10-22,20:00:00,26.65,-28.39,7.48
08-10-22,20:10:00,26.62,-28.38,7.48
08-10-22,20:20:00,26.62,-28.75,7.48
08-10-22,20:30:00,26.6,-28.69,7.48
08-10-22,20:40:00,26.57,-28.5,7.48
08-10-22,20:50:00,26.57,-28.59,7.48
08-10-22,21:00:00,26.57,-28.58,7.48
08-10-22,21:10:00,26.55,-28.25,7.47
08-10-22,21:20:00,26.52,-28.45,7.48
08-10-22,21:30:00,26.52,-28.33,7.48
08-10-22,21:40:00,26.52,-27.77,7.47
08-10-22,21:50:00,26.5,-28.47,7.48
08-10-22,22:00:00,26.5,-28.11,7.47
08-10-22,22:10:00,26.48,-28.03,7.47
08-10-22,22:20:00,26.48,-28.41,7.48
08-10-22,22:30:00,26.45,-28.31,7.48
08-10-22,22:40:00,26.45,-29.31,7.49
08-10-22,22:50:00,26.43,-29.05,7.49
08-10-22,23:00:00,26.43,-29.8,7.5
08-10-22,23:10:00,26.4,-28.55,7.48
08-10-22,23:20:00,26.4,-28.83,7.48
08-10-22,23:30:00,26.4,-28.39,7.48
08-10-22,23:40:00,26.38,-28.22,7.47
08-10-22,23:50:00,26.38,-28.09,7.47
09-10-22,0:00:00,26.35,-28.27,7.48
09-10-22,0:10:00,26.35,-28,7.47
09-10-22,0:20:00,26.33,-27.77,7.47
09-10-22,0:30:00,26.33,-27.53,7.46
09-10-22,0:40:00,26.3,-27.69,7.47
09-10-22,0:50:00,26.3,-27.64,7.47
09-10-22,1:00:00,26.28,-27.3,7.46
09-10-22,1:10:00,26.28,-27.28,7.46
09-10-22,1:20:00,26.26,-27.24,7.46
09-10-22,1:30:00,26.23,-27.5,7.46
09-10-22,1:40:00,26.23,-27.28,7.46
09-10-22,1:50:00,26.21,-27.56,7.46
09-10-22,2:00:00,26.18,-27.47,7.46
09-10-22,2:10:00,26.18,-27.56,7.46
09-10-22,2:20:00,26.16,-27.7,7.47
09-10-22,2:30:00,26.13,-27.91,7.47
09-10-22,2:40:00,26.13,-27.83,7.47
09-10-22,2:50:00,26.11,-27.63,7.47
09-10-22,3:00:00,26.11,-27.11,7.46
09-10-22,3:10:00,26.11,-27.59,7.46
09-10-22,3:20:00,26.08,-27.39,7.46
09-10-22,3:30:00,26.06,-27.64,7.47
09-10-22,3:40:00,26.06,-27.53,7.46
09-10-22,3:50:00,26.04,-27.8,7.47
09-10-22,4:00:00,26.04,-27.58,7.46
09-10-22,4:10:00,26.01,-27.45,7.46
09-10-22,4:20:00,25.99,-27.22,7.46
09-10-22,4:30:00,25.99,-27.08,7.46
09-10-22,4:40:00,25.96,-26.97,7.45
09-10-22,4:50:00,25.96,-26.84,7.45
09-10-22,5:00:00,25.94,-27.24,7.46
09-10-22,5:10:00,25.94,-26.89,7.45
09-10-22,5:20:00,25.94,-26.94,7.45
09-10-22,5:30:00,25.91,-26.53,7.45
09-10-22,5:40:00,25.91,-26.75,7.45
09-10-22,5:50:00,25.89,-27.38,7.46
09-10-22,6:00:00,25.89,-26.94,7.45
09-10-22,6:10:00,25.87,-26.67,7.45
09-10-22,6:20:00,25.87,-26.8,7.45
09-10-22,6:30:00,25.84,-26.58,7.45
09-10-22,6:40:00,25.84,-26.34,7.44
09-10-22,6:50:00,25.82,-26.24,7.44
09-10-22,7:00:00,25.82,-25.95,7.44
09-10-22,7:10:00,25.82,-25.84,7.44
09-10-22,7:20:00,25.82,-25.84,7.44
09-10-22,7:30:00,25.79,-25.41,7.43
09-10-22,7:40:00,25.79,-25.64,7.43
09-10-22,7:50:00,25.79,-25.52,7.43
09-10-22,8:00:00,25.82,-25.45,7.43
09-10-22,8:10:00,25.82,-25.61,7.43
09-10-22,8:20:00,25.82,-25.52,7.43
09-10-22,8:30:00,25.82,-25.77,7.43
09-10-22,8:40:00,25.84,-26.16,7.44
09-10-22,8:50:00,25.84,-26.27,7.44
09-10-22,9:00:00,25.84,-26.27,7.44
09-10-22,9:10:00,25.84,-26.3,7.44
09-10-22,9:20:00,25.87,-26.39,7.44
09-10-22,9:30:00,25.87,-26.3,7.44
09-10-22,9:40:00,25.89,-26.28,7.44
09-10-22,9:50:00,25.94,-26.45,7.45
09-10-22,10:00:00,25.99,-26.36,7.44
09-10-22,10:10:00,26.01,-26.36,7.44
09-10-22,10:20:00,26.08,-27.16,7.46
09-10-22,10:30:00,26.08,-27.05,7.46
09-10-22,10:40:00,26.11,-27.36,7.46
09-10-22,10:50:00,26.13,-27.72,7.47
09-10-22,11:00:00,26.16,-28.13,7.47
09-10-22,11:10:00,26.16,-28.02,7.47
09-10-22,11:20:00,26.18,-28.94,7.49
09-10-22,11:30:00,26.21,-29.08,7.49
09-10-22,11:40:00,26.23,-29.58,7.5
09-10-22,11:50:00,26.23,-29.81,7.5
09-10-22,12:00:00,26.26,-29.8,7.5
09-10-22,12:10:00,26.28,-30,7.5
09-10-22,12:20:00,26.3,-30.22,7.51
09-10-22,12:30:00,26.33,-29.89,7.5
09-10-22,12:40:00,26.35,-30.34,7.51
09-10-22,12:50:00,26.38,-30.56,7.51
09-10-22,13:00:00,26.38,-30.33,7.51
09-10-22,13:10:00,26.43,-30.83,7.52
09-10-22,13:20:00,26.48,-31.08,7.52
09-10-22,13:30:00,26.57,-31.88,7.54
09-10-22,13:40:00,26.55,-31.97,7.54
09-10-22,13:50:00,26.62,-32.56,7.55
09-10-22,14:00:00,26.7,-32.45,7.55
09-10-22,14:10:00,26.7,-32.05,7.54
09-10-22,14:20:00,26.79,-32.67,7.55
09-10-22,14:30:00,26.55,-32.08,7.54
09-10-22,14:40:00,26.55,-32.19,7.54
09-10-22,14:50:00,26.55,-32.31,7.54
09-10-22,15:00:00,26.57,-31.69,7.53
09-10-22,15:10:00,26.6,-31.91,7.54
09-10-22,15:20:00,26.62,-31.88,7.54
09-10-22,15:30:00,26.62,-31.94,7.54
09-10-22,15:40:00,26.65,-31.97,7.54
09-10-22,15:50:00,26.65,-31.92,7.54
09-10-22,16:00:00,26.67,-31.67,7.53
09-10-22,16:10:00,26.72,-31.83,7.53
09-10-22,16:20:00,26.7,-31.94,7.54
09-10-22,16:30:00,26.74,-31.77,7.53
09-10-22,16:40:00,26.74,-31.5,7.53
09-10-22,16:50:00,26.77,-31.97,7.54
09-10-22,17:00:00,26.79,-31.77,7.53
09-10-22,17:10:00,26.79,-31.8,7.53
09-10-22,17:20:00,26.82,-31.67,7.53
09-10-22,17:30:00,26.79,-31.59,7.53
09-10-22,17:40:00,26.79,-31.45,7.53
09-10-22,17:50:00,26.82,-31.2,7.52
09-10-22,18:00:00,26.77,-31.06,7.52
09-10-22,18:10:00,26.79,-30.78,7.52
09-10-22,18:20:00,26.82,-30.59,7.51
09-10-22,18:30:00,26.82,-30.7,7.52
09-10-22,18:40:00,26.79,-30.39,7.51
09-10-22,18:50:00,26.79,-30.42,7.51
09-10-22,19:00:00,26.82,-30.38,7.51
09-10-22,19:10:00,26.82,-30.49,7.51
09-10-22,19:20:00,26.79,-30.41,7.51
09-10-22,19:30:00,26.82,-30,7.5
09-10-22,19:40:00,26.82,-30.61,7.51
09-10-22,19:50:00,26.79,-30.33,7.51
09-10-22,20:00:00,26.79,-30.02,7.5
09-10-22,20:10:00,26.79,-29.74,7.5
09-10-22,20:20:00,26.77,-29.99,7.5
09-10-22,20:30:00,26.77,-29.67,7.5
09-10-22,20:40:00,26.77,-29.7,7.5
09-10-22,20:50:00,26.74,-29.64,7.5
09-10-22,21:00:00,26.74,-29.27,7.49
09-10-22,21:10:00,26.72,-29.41,7.49
09-10-22,21:20:00,26.72,-29.42,7.49
09-10-22,21:30:00,26.7,-30.38,7.51
09-10-22,21:40:00,26.7,-29.2,7.49
09-10-22,21:50:00,26.7,-28.86,7.49
09-10-22,22:00:00,26.67,-29.22,7.49
09-10-22,22:10:00,26.65,-29.44,7.49
09-10-22,22:20:00,26.65,-29.28,7.49
09-10-22,22:30:00,26.62,-29.36,7.49
09-10-22,22:40:00,26.6,-29.13,7.49
09-10-22,22:50:00,26.57,-29.05,7.49
09-10-22,23:00:00,26.57,-28.66,7.48
09-10-22,23:10:00,26.55,-28.78,7.48
09-10-22,23:20:00,26.55,-28.74,7.48
09-10-22,23:30:00,26.52,-28.61,7.48
09-10-22,23:40:00,26.5,-28.41,7.48
09-10-22,23:50:00,26.45,-28.14,7.47
10-10-22,0:00:00,26.45,-28.02,7.47
10-10-22,0:10:00,26.45,-28.22,7.47
10-10-22,0:20:00,26.43,-28.16,7.47
10-10-22,0:30:00,26.43,-27.99,7.47
10-10-22,0:40:00,26.38,-27.97,7.47
10-10-22,0:50:00,26.38,-27.97,7.47
10-10-22,1:00:00,26.35,-27.92,7.47
10-10-22,1:10:00,26.35,-27.74,7.47
10-10-22,1:20:00,26.33,-27.63,7.46
10-10-22,1:30:00,26.33,-28.03,7.47
10-10-22,1:40:00,26.3,-27.75,7.47
10-10-22,1:50:00,26.28,-27.67,7.47
10-10-22,2:00:00,26.28,-27.84,7.47
10-10-22,2:10:00,26.26,-27.47,7.46
10-10-22,2:20:00,26.23,-27.63,7.46
10-10-22,2:30:00,26.21,-27.31,7.46
10-10-22,2:40:00,26.21,-28.11,7.47
10-10-22,2:50:00,26.18,-28.19,7.47
10-10-22,3:00:00,26.16,-28.72,7.48
10-10-22,3:10:00,26.16,-27.97,7.47
10-10-22,3:20:00,26.13,-28.42,7.48
10-10-22,3:30:00,26.11,-28.34,7.48
10-10-22,3:40:00,26.11,-28.86,7.49
10-10-22,3:50:00,26.08,-28.24,7.48
10-10-22,4:00:00,26.06,-28.34,7.48
10-10-22,4:10:00,26.06,-27.09,7.46
10-10-22,4:20:00,26.06,-27.45,7.46
10-10-22,4:30:00,26.04,-28.33,7.48
10-10-22,4:40:00,26.01,-28.17,7.47
10-10-22,4:50:00,25.99,-28.39,7.48
10-10-22,5:00:00,25.99,-28.03,7.47
10-10-22,5:10:00,25.96,-28.03,7.47
10-10-22,5:20:00,25.96,-28.08,7.47
10-10-22,5:30:00,25.94,-28.72,7.48
10-10-22,5:40:00,25.94,-28.13,7.47
10-10-22,5:50:00,25.91,-28.34,7.48
10-10-22,6:00:00,25.91,-28.22,7.48
10-10-22,6:10:00,25.89,-28.02,7.47
10-10-22,6:20:00,25.89,-27.7,7.47
10-10-22,6:30:00,25.87,-27.36,7.46
10-10-22,6:40:00,25.87,-27.19,7.46
10-10-22,6:50:00,25.84,-27.14,7.46
10-10-22,7:00:00,25.84,-27.31,7.46
